04/07 04:11:49.332/IST   WARN - Session Config - 2# no announce.new.markets property found in initialization file; defaulting to false
04/07 04:20:40.780/IST   WARN -    UserError - 2930# told test1 "Bought 15.983 from MarketMaker.".
04/07 04:20:40.859/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 04:21:04.031/IST  DEBUG -      Trading - test1 wants to buy 9 with limit of 100 @ 99.
04/07 04:21:04.087/IST   INFO -  PriceAction - 3273# test1 traded with the market maker for 0 of IPL11:3 changing the price from 2.1906 to 0.1095
04/07 04:21:04.088/IST   INFO -  PriceAction - 3274# test1 traded with the market maker for 0 of IPL11:5 changing the price from 5.9497 to 0.2975
04/07 04:21:04.089/IST   INFO -  PriceAction - 3275# test1 traded with the market maker for 3.851 of IPL11:9 changing the price from 80 to 99
04/07 04:21:04.089/IST   INFO -  PriceAction - 3276# test1 traded with the market maker for 0 of IPL11:7 changing the price from 1.0105 to 0.0505
04/07 04:21:04.090/IST   INFO -  PriceAction - 3277# test1 traded with the market maker for 0 of IPL11:1 changing the price from 3.5338 to 0.1767
04/07 04:21:04.091/IST   INFO -  PriceAction - 3278# test1 traded with the market maker for 0 of IPL11:2 changing the price from 1.6028 to 0.0801
04/07 04:21:04.091/IST   INFO -  PriceAction - 3279# test1 traded with the market maker for 0 of IPL11:4 changing the price from 1.1304 to 0.0565
04/07 04:21:04.092/IST   INFO -  PriceAction - 3280# test1 traded with the market maker for 0 of IPL11:8 changing the price from 2.0498 to 0.1025
04/07 04:21:04.092/IST   INFO -  PriceAction - 3281# test1 traded with the market maker for 0 of IPL11:6 changing the price from 2.5324 to 0.1266
04/07 04:21:04.159/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 04:21:04.159/IST   INFO -  PriceChange - prices in market 'IPL11' changed.  IPL11:3: 0, IPL11:5: 0, IPL11:9: 99, IPL11:7: 0, IPL11:1: 0, IPL11:2: 0, IPL11:4: 0, IPL11:8: 0, IPL11:6: 0
04/07 04:21:04.160/IST   WARN -    UserError - 3282# told test1 "Bought 3.851 from MarketMaker.".
04/07 04:21:04.261/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 04:21:16.684/IST  DEBUG -      Trading - test1 wants to sell 9 with limit of 100 @ 4.
04/07 04:50:05.379/IST   WARN -    UserError - 3634# told User(logging in) "Please type an account name and password".
04/07 06:52:21.494/IST   WARN -    UserError - 3635# told User(logging in) "Please type an account name and password".
04/07 06:52:26.055/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 06:52:38.076/IST  DEBUG -      Trading - laha1 wants to buy 8 with limit of 100 @ 10.
